humidity,windspeed,winddirection,tempC,tempminC,tempmaxC,precipitation,date,month,year
79.5,12.2,343.1,18.6,15.2,24.2,0.0,2022-01-01,January,2022
85.0,11.2,341.0,17.4,14.8,22.4,0.0,2022-01-02,January,2022
83.2,11.5,340.9,17.9,14.0,24.2,0.0,2022-01-03,January,2022
82.8,10.1,345.9,17.2,13.4,23.8,0.0,2022-01-04,January,2022
83.0,9.7,341.3,17.2,13.6,23.8,0.0,2022-01-05,January,2022
80.1,9.4,338.2,18.1,13.7,24.7,0.0,2022-01-06,January,2022
80.6,9.0,353.8,18.9,14.3,26.5,0.0,2022-01-07,January,2022
79.5,9.7,352.4,20.1,15.4,27.4,0.0,2022-01-08,January,2022
80.2,9.4,359.0,20.0,15.5,27.3,0.0,2022-01-09,January,2022
71.7,9.0,7.5,20.7,15.3,26.9,0.0,2022-01-10,January,2022
51.5,14.4,16.6,23.3,18.3,29.3,0.0,2022-01-11,January,2022
67.3,21.6,342.1,20.3,18.5,23.3,0.4,2022-01-12,January,2022
67.0,9.7,307.9,21.2,16.3,27.1,0.0,2022-01-13,January,2022
62.7,17.6,12.0,20.1,18.3,23.4,1.3,2022-01-14,January,2022
51.4,16.2,355.3,21.0,17.0,26.8,0.0,2022-01-15,January,2022
41.6,19.1,339.0,19.7,15.4,25.5,0.0,2022-01-16,January,2022
43.9,13.7,340.1,18.3,12.1,25.3,0.0,2022-01-17,January,2022
50.4,11.5,330.1,18.6,13.2,24.8,0.0,2022-01-18,January,2022
49.5,11.9,328.9,19.1,13.6,25.7,0.0,2022-01-19,January,2022
43.1,13.0,308.2,19.1,13.7,25.5,0.0,2022-01-20,January,2022
36.7,11.5,146.4,19.7,14.2,26.2,0.0,2022-01-21,January,2022
62.4,10.8,129.3,20.5,16.1,27.1,0.8,2022-01-22,January,2022
59.8,12.2,53.1,21.2,16.7,27.1,0.3,2022-01-23,January,2022
67.9,11.9,100.2,20.0,17.8,23.0,1.2,2022-01-24,January,2022
65.4,10.4,17.9,20.8,15.3,27.1,0.0,2022-01-25,January,2022
61.3,17.6,24.0,21.4,17.9,26.9,0.3,2022-01-26,January,2022
61.5,16.2,347.5,19.6,15.9,24.6,1.4,2022-01-27,January,2022
43.7,15.8,330.1,17.3,12.3,22.9,0.0,2022-01-28,January,2022
44.4,17.6,342.2,16.6,11.6,22.0,0.0,2022-01-29,January,2022
43.7,15.1,282.6,18.1,12.7,24.4,0.0,2022-01-30,January,2022
43.7,13.7,226.4,19.4,13.7,26.6,0.0,2022-01-31,January,2022
55.6,16.9,233.7,21.1,15.3,28.4,0.1,2022-02-01,February,2022
46.7,10.1,241.5,21.6,15.6,28.2,0.0,2022-02-02,February,2022
64.3,19.4,182.2,22.1,17.3,29.3,0.0,2022-02-03,February,2022
77.5,29.2,149.4,20.3,17.3,28.4,11.2,2022-02-04,February,2022
61.7,20.2,309.0,19.5,16.1,24.1,2.9,2022-02-05,February,2022
50.3,11.5,327.1,17.9,13.9,22.5,0.0,2022-02-06,February,2022
53.2,10.8,346.9,18.7,14.0,24.0,0.0,2022-02-07,February,2022
51.7,10.4,95.2,19.7,14.7,25.5,0.0,2022-02-08,February,2022
53.5,10.8,168.3,20.9,15.5,27.0,0.0,2022-02-09,February,2022
56.2,13.7,345.2,21.8,17.5,27.6,0.0,2022-02-10,February,2022
57.0,15.5,337.8,21.1,17.0,26.5,0.0,2022-02-11,February,2022
44.0,16.9,349.9,19.5,14.8,25.0,0.0,2022-02-12,February,2022
44.5,16.2,351.4,19.7,13.8,26.5,0.0,2022-02-13,February,2022
